,album_ID,album_name,album_type,artist_ID
0,1,Easy On Me,single,1
1,2,STAY (with Justin Bieber),single,2
2,3,Merry Christmas,album,3
3,4,Merry Christmas From Brenda Lee,album,4
4,5,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),single,5
5,6,INDUSTRY BABY (feat. Jack Harlow),single,6
6,7,Have A Holly Jolly Christmas,album,7
7,8,Dreamland,album,8
8,9,=,album,9
9,10,Planet Her,album,10
10,11,The Andy Williams Christmas Album,album,11
11,12,=,album,12
12,13,Cold Heart (PNAU Remix),single,13
13,14,Smokin Out The Window,single,14
14,15,LAST CHRISTMAS,single,15
15,16,Feliz Navidad,album,16
16,17,Merry Christmas,album,17
17,18,The Christmas Song (Expanded Edition),album,18
18,19,A Christmas Gift For You From Phil Spector,compilation,19
19,20,Greatest Christmas Songs,album,20
20,21,Red (Taylor's Version),album,21
21,22,Christmas Songs by Sinatra,album,22
22,23,Country Stuff,single,23
23,24,abcdefu,single,24
24,25,Holiday Inn (Original Motion Picture Soundtrack),album,25
25,26,SOUR,album,26
26,27,Wrapped In Red,album,27
27,28,Made In Lagos,album,28
28,29,Planet Her,album,29
29,30,The Andy Williams Christmas Album,album,30
30,31,Certified Lover Boy,album,31
31,32,Chosen,album,32
32,33,One Right Now,single,33
33,34,Kiss Me More (feat. SZA),single,34
34,35,Have A Holly Jolly Christmas,album,35
35,36,Santa Tell Me,single,36
36,37,30,album,37
37,38,Save Your Tears (Remix),single,38
38,39,GHOST TOWN,single,39
39,40,Rock 'N' Roll Rarities,album,40
40,41,Certified Lover Boy,album,41
41,42,If I Didn't Love You,single,42
42,43,MONTERO,album,43
43,44,Happier Than Ever,album,44
44,45,Better Days (NEIKED x Mae Muller x Polo G),single,45
45,46,A Perry Como Christmas,album,46
46,47,CKay The First,album,47
47,48,THE ANXIETY,album,48
48,49,Thinking 'Bout You (feat. MacKenzie Porter),single,49
49,50,Certified Lover Boy,album,50
50,51,My Universe,single,51
51,52,What You See Ain't Always What You Get (Deluxe Edition),album,52
52,53,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",single,53
53,54,Buy Dirt,album,54
54,55,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,album,55
55,56,Pepas,single,56
56,57,Starting Over,album,57
57,58,By Your Side,single,58
58,59,No Love Lost (Deluxe),album,59
59,60,Same Boat,single,60
60,61,Whiskey And Rain,single,61
61,62,Have Mercy,single,62
62,63,Wild Side (feat. Cardi B),single,63
63,64,Dangerous: The Double Album,album,64
64,65,One Mississippi,single,65
65,66,Here And Now,album,66
66,67,30,album,67
67,68,family ties (with Kendrick Lamar),single,68
68,69,Enemy (with JID) [from the series Arcane League of Legends],single,69
69,70,GYALIS,single,70
70,71,Big Energy,single,71
71,72,Sharing Locations (feat. Lil Baby & Lil Durk),single,72
72,73,Still Over It,album,73
73,74,30,album,74
74,75,Already Dead,single,75
75,76,30,album,76
76,77,Cup for Us,album,77
77,78,Red (Taylor's Version),album,78
78,79,Heartache Medication,album,79
79,80,Bettie James,album,80
80,81,Just About Over You,single,81
81,82,,,82
82,83,Punk,album,83
83,84,Bad Man (Smooth Criminal),single,84
84,85,For Tonight,single,85
85,86,Certified Lover Boy,album,86
86,87,Poke It Out (feat. J. Cole),single,87
87,88,Human The Double Album,album,88
88,89,A Gangsta’s Pain: Reloaded,album,89
89,90,Planet Her,album,90
90,91,Memory I Don't Mess With,single,91
91,92,Heart,album,92
92,93,half of my hometown,single,93
93,94,Moth To A Flame,single,94
94,95,Always Been You,single,95
95,96,Who's In Your Head,single,96
96,97,"Sincerely, Kentrell",album,97
97,98,Free Dem Boyz,album,98
98,99,Volví,single,99
99,100,Still Over It,album,100
