,song_ranking,artist_name,song_title
0,1,Adele,Easy On Me
1,2,The Kid LAROI & Justin Bieber,Stay
2,3,Lil Nas X & Jack Harlow,Industry Baby
3,4,Taylor Swift,All Too Well (Taylor's Version)
4,5,Adele,Oh My God
5,6,Ed Sheeran,Shivers
6,7,Glass Animals,Heat Waves
7,8,Ed Sheeran,Bad Habits
8,9,Doja Cat,Need To Know
9,10,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
10,11,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
11,12,Mariah Carey,All I Want For Christmas Is You
12,13,Walker Hayes,Fancy Like
13,14,Brenda Lee,Rockin' Around The Christmas Tree
14,15,Olivia Rodrigo,Good 4 U
15,16,Wizkid Featuring Justin Bieber & Tems,Essence
16,17,Drake Featuring Future & Young Thug,Way 2 Sexy
17,18,Adele,I Drink Wine
18,19,Doja Cat & The Weeknd,You Right
19,20,Bobby Helms,Jingle Bell Rock
20,21,Post Malone & The Weeknd,One Right Now
21,22,Maneskin,Beggin'
22,23,Adele,My Little Love
23,24,Dua Lipa,Levitating
24,25,Doja Cat Featuring SZA,Kiss Me More
25,26,Adele,Can I Get It
26,27,Burl Ives,A Holly Jolly Christmas
27,28,Jason Aldean & Carrie Underwood,If I Didn't Love You
28,29,Coldplay x BTS,My Universe
29,30,Andy Williams,It's The Most Wonderful Time Of The Year
30,31,The Weeknd & Ariana Grande,Save Your Tears
31,32,Adele,To Be Loved
32,33,Drake Featuring 21 Savage & Project Pat,Knife Talk
33,34, NEIKED X Mae Muller X Polo G,Better Days
34,35,Jordan Davis Featuring Luke Bryan,Buy Dirt
35,36,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
36,37,CKay,Love Nwantiti (Ah Ah Ah)
37,38,Justin Bieber,Ghost
38,39,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
39,40,Wham!,Last Christmas
40,41,Adele,Strangers By Nature
41,42,Lil Nas X,Thats What I Want
42,43,Drake Featuring Lil Baby,Girls Want Girls
43,44,Adele,Cry Your Heart Out
44,45,Billie Eilish,Happier Than Ever
45,46,Luke Combs,Cold As You
46,47,Farruko,Pepas
47,48,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
48,49,Adele,Hold On
49,50,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
50,51,GAYLE,abcdefu
51,52,Chris Stapleton,You Should Probably Leave
52,53,Adele With Erroll Garner,All Night Parking (Interlude)
53,54,Zac Brown Band,Same Boat
54,55,Adele,Woman Like Me
55,56,Adele,Love Is A Game
56,57,Chloe,Have Mercy
57,58,Normani Featuring Cardi B,Wild Side
58,59,Kane Brown,One Mississippi
59,60,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
60,61,Juice WRLD,Already Dead
61,62,Morgan Wallen,Sand In My Boots
62,63,Kodak Black,Super Gremlin
63,64,Baby Keem & Kendrick Lamar,Family Ties
64,65,Capella Grey,Gyalis
65,66,Summer Walker & SZA,No Love
66,67,Michael Ray,Whiskey And Rain
67,68,Polo G,Bad Man (Smooth Criminal)
68,69,Kenny Chesney,Knowing You
69,70,Taylor Swift Featuring Chris Stapleton,I Bet You Think About Me (Taylor's Version) (From The Vault)
70,71,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations
71,72,Latto,Big Energy
72,73,State Of Mine & Drew Jacobs,God's Country
73,74,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
74,75,Jon Pardi,Tequila Little Time
75,76,Jimmie Allen & Brad Paisley,Freedom Was A Highway
76,77,Cody Johnson,'Til You Can't
77,78,Drake Featuring Travis Scott,Fair Trade
78,79,Young Thug With Drake & Travis Scott,Bubbly
79,80,Doja Cat,Woman
80,81,Amaarae & Moliy Featuring Kali Uchis,Sad Girlz Luv Money
81,82,Luke Combs,Doin' This
82,83,Giveon,For Tonight
83,84,Swedish House Mafia & The Weeknd,Moth To A Flame
84,85,Imagine Dragons X JID,Enemy
85,86,Taylor Swift,Red (Taylor's Version)
86,87,Lee Brice,Memory I Don't Mess With
87,88,Taylor Swift,State Of Grace (Taylor's Version)
88,89,Eric Church,Heart On Fire
89,90,Summer Walker & JT,Ex For A Reason
90,91,Wale Featuring J. Cole,Poke It Out
91,92,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
92,93,Aventura x Bad Bunny,Volvi
93,94,42 Dugg Featuring Future,Maybach
94,95,"Yung Bleu, Chris Brown & 2 Chainz",Baddest
95,96,Gunna & Future,Too Easy
96,97,Travis Scott,Escape Plan
97,98,Jonas Brothers,Who's In Your Head
98,99,Eslabon Armado Featuring DannyLux,Jugaste y Sufri
99,100,The Weeknd,Take My Breath
